volume,issue,year,article_title,author_Last,author_First,more_authors_last_first,affiliations,NON-US-based,abstract,keywords,page_start,page_end,doi,notes
1,1,2024,Leveraging LLMs for Automated MIDI Generation,Zhang,Corey,"Santolucito, Mark",Eastlake High School,,This paper explores the application of large language models (LLMs) for music generation specifically focusing on generating MIDI files JSON representations and music-related code. We aim to leverage LLM capabilities to automate and enhance the music composition process. We systematically examine methodologies and tools for integrating LLMs in music generation with direct music creation and code-based techniques. The challenge of automating music composition using AI remains significant due to the complexity and creativity required in the process. Our findings demonstrate the potential of LLMs to innovate and streamline music composition offering new tools and approaches for musicians and developers.,"large language models, music generation, code generation",3,10,https://doi.org/10.5281/zenodo.14279480,
1,1,2024,Deep Learning Based Volumetric Segmentation of Heart Ventricles for Assessment of Cardiac Disease Using MRI,Pallapothu,Anika,,Novaltech,Y,Diagnosis of cardiovascular diseases through cardiac MRI imaging plays a crucial role. Manual evaluation is time consuming and prone to errors. With the help of deep learning a lot of traction has been developed for cardiac imaging diagnosis. In this study we present a fully automated pipeline for the segmentation of left ventricle right ventricle myocardium and classification of cardiovascular diseases into five classes using the cardiac MRI scans from the ACDC dataset. We adopted Segnet architecture for segmentation and made a comparative analysis using 2D and 3D approach. Best results were obtained using 2D approach with dice scores of 0.877(RV) 0.877(MYO) 0.937(LV) on the test set. We later on use the segmentation outputs to extract quantitative features to develop a robust classifier that gave us an overall accuracy of 85% on the test set and 0.81 0.89 scores of precisions and recall. Our proposed approach is computationally efficient and can be used for making critical decisions during diagnosis.,"Cardiovascular, MRI, Heart Ventricles, Segmentation, Artificial Intelligence, Deep Learning",11,14,https://doi.org/10.5281/zenodo.14279490,
1,1,2024,A Case Study on LLM Code Generation in Sonic Pi and Its Impact on Student Attitudes towards Computer Science,Wang,Josch,,Manhasset High School,,Research has demonstrated that creating music and soundscapes with tools like Sonic Pi can enhance the appeal of computer science and music composition as fields of study. However with current advancements in artificial intelligence (AI) the nature of computer science is evolving rapidly particularly with AI's ability to generate code from a single prompt. Similarly AI technologies have already begun to transform music composition by enabling the generation of music. This study investigates whether live coding with large language models (LLMs) such as ChatGPT and Copilot influences perceptions of entering the fields of music composition and computer science. Understanding the impact of AI is crucial as it increasingly shapes various domains of our lives. To explore this we instructed a random sample of high school students in the basics of live coding emphasizing the inclusion of AI tools. The results indicate a positive shift in students' attitudes toward programming and music creation suggesting that AI serves as a beneficial tool rather than a detrimental one.,"LLM Code Generation, Live Coding, Sonic Pi, CS Education",19,23,https://doi.org/10.5281/zenodo.14279494,
1,1,2024,Using Model Counting for Game Development: Quantifying Difficulty of 2D Platformer Levels for Diverse Playable Characters,Patil,Aditya,"Santolucito, Mark",MIT Vishwashanti Gurukul,Y,Game development is a field that benefits immensely from using Generative Artificial Intelligence. In particular level design is a labor-intensive task that can be assisted by AI. However one challenge in level design is ensuring the balance of the level. To further support level designers we propose a technique using model counting for the automatic analysis of a level for multiple different playable characters in order to quantify the difficulty of the level for each character. By using model counting we can analyze a level without the need for human play testing. We implement a prototype of our tool and show the viability of this approach for a 2D platformer.,"Game Design, Model Counting, Balance, Level Difficulty",24,28,https://doi.org/10.5281/zenodo.14279496,
1,1,2024,Using a Feedback Loop for LLM-based Infrastructure as Code Generation,Amarnath,Mayur,"Santolucito, Mark",Irvington High School,,Code generation with Large Language Models (LLMs) has helped to increase software developer productivity in coding tasks but has yet to have significant impact on the tasks of software developers that surround this code. In particular the challenge of infrastructure management remains an open question. We investigate the ability of an LLM agent to construct infrastructure using the Infrastructure as Code (IaC) paradigm. We particularly investigate the use of a feedback loop that returns errors and warnings on the generated IaC to allow the LLM agent to improve the code. We find that for each iteration of the loop its effectiveness decreases exponentially until it plateaus at a certain point and becomes ineffective.,"Infrastructure as Code, Large Language Models",15,18,https://doi.org/10.5281/zenodo.14279492,
2,1,2025,Comparative Analysis of Vision Transformer and ResNet50 for Glaucoma Detection: Balancing Performance and Efficiency,Hwang,Eric,,Dulwich College Seoul,Y,This study develops and evaluates the performance and computational efficiency of ResNet50 (CNN-based architecture) and Vision Transformer (Transformer-based architecture) for detecting glaucoma from fundus photographs. Glaucoma is one of the leading causes of irreversible blindness that affects millions of people around the world. Using deep learning methods both models are trained to learn indicators of glaucomatous fundus photographs such as thinning of the retinal nerve fiber layer (RNFL) and nasalization of blood vessels to classify healthy and glaucomatous eyes. Gradient-weighted Class Activation Mapping (Grad-CAM) was used to interpret the model predictions by visualizing the regions of fundus photographs that contributed most significantly to the classification. With a publicly available dataset we fine-tuned both models by leveraging transfer learning with a small learning rate (0.0001) on pre-trained layers. Both models were assessed with metrics such as accuracy F1 score inference time throughput and maximum GPU memory usage under controlled conditions. ResNet50 outperformed ViT achieving higher accuracy (90.72% vs 87.64%) and an F1 score (0.9104 vs 0.8614) while being significantly more computationally efficient with 68.48% faster inference and 50.52% lower GPU usage. These findings highlight the suitability of ResNet50 over ViT for use in resource-constrained medical settings to assist ophthalmologists diagnosing patients as it effectively balances performance and efficiency.,"Artificial Intelligence, Computer Vision, Deep Learning, Neural Networks, Transfer Learning, Medical Imaging, Glaucoma Detection",3,8,https://doi.org/10.5281/zenodo.15149831,
2,1,2025,Co-occurrence of Extreme Heat and Pollution in the Southwest United States,Maganti,Arjun,"Espinosa, Zachary",Basis Independent Silicon Valley,,In this research paper we examine the co-occurrence of extreme heat and humidity in the Southwest United States between 2003 and 2023. Using simple statistical regression analysis time series analysis and spatial compositing we demonstrate that humidity when coinciding with extreme heat tends to exacerbate air pollution. Specifically we find that humidity and heat have the largest impact of PM d <2.5um and carbon monoxide (CO) with a lesser impact on other pollutants. We hypothesize the hygroscopic nature of PM2.5 particles and the reactive CO molecules with NOx and VOC compounds lead to amplified reaction rates during extreme heat and humidity. Next we examine the meteorological conditions associated with the co-occurrence of extreme heat and humidity in Los Angeles and Sacramento. We demonstrate that heat waves in Los Angeles are associated with strong northwesterly winds originating in the Mojave Desert that are associated with anomalous warm atmospheric heat transport. This is also associated with decreased on-shore winds from the Pacific Ocean which typically have a cooling effect. Decreased onshore winds resultantly lead to an exacerbation of heat conditions. These findings can contribute to further prevention of possible wildfire events caused by extreme heat conditions and also lead to further protections against cases of extreme pollution in the southwestern United States.,"co-occurrence of extreme heat and pollution, climate change, Southwest United States, compound events, air pollution",9,14,https://doi.org/10.5281/zenodo.14988723,
2,1,2025,A Study of Drift Variability in Crazyflie Nano-Quadcopters by Pitting in-built Logging Parameters against Meticulous Measurement Techniques,Bhaduri,Vihaan,"Santolucito, Mark",Saratoga High School,,Drift is one of the most unpredictable challenges when operating nano-quadcopters like Crazyflie. Caused by various factors including propeller orientation battery positioning and hardware manufacturing variations-drift significantly impacts flight predictability particularly in tight spaces such as narrow hallways crowded rooms and public areas. While a permanent solution to drift may not exist especially when it arises from inherent hardware variations such as mechanical inconsistencies and alignment inaccuracies understanding its effects is crucial for flight precision safety and the mitigation of unintended flight path deviations. Moreover drift analysis is essential in environments lacking precise positioning systems. Addressing drift directly within flight operations provides a more effective and broadly applicable solution to this mechanically induced issue. In this case study we examined the typical drift patterns observed in Crazyflie quadcopters assessing their scale and comparing differences across model versions. This analysis can help researchers determine whether these drones offer the precision required for their applications or if additional stabilization measures such as a lower-level Proportional-Integral-Derivative (PID) controller are necessary.,"Nano-quadcopters, Crazyflie, mechanical variability, drone drift",15,22,https://doi.org/10.5281/zenodo.14988716,
2,1,2025,LLM-based Code Generation for Verilog,Raghav,Anshul,"Santolucito, Mark",Redmond High School,,Recent advancements in Large Language Models (LLMs) have transformed code generation across various programming languages. However there remains a significant gap in research regarding their application to hardware description languages particularly Verilog. This gap is especially critical as hardware development becomes increasingly complex and automated assistance could substantially reduce development time and minimize errors in system design. To address this challenge we conducted a comprehensive ablation study comparing GPT-4o GPT-4o mini and GPT-3.5 Turbo for Verilog code generation. Our methodology involved evaluating four distinct approaches: (1) one-shot generation as a baseline (2) multi-shot generation (3) an error correction pipeline for handling compilation errors and (4) a full framework that addresses both compilation and functional errors. Our results demonstrate that the full framework significantly outperforms baseline approaches across all tested models. The results show that the full framework outperformed all baseline methods eliminating compilation errors entirely and increasing the overall pass rate by up to 17.65%. In the ablation study the multi-shot generation and error-handling components demonstrated incremental improvements of 1.96% and 5.88% respectively underscoring the contribution of each component to the framework's effectiveness.,"Verilog, Code Generation, LLMs, Ablation Study",23,32,https://doi.org/10.5281/zenodo.14988731,
2,1,2025,Using AI Modeling to Predict the Impact of Cloud Seeding on Amount of Rainfall and How that Affects the Temperature in Different Regions,Carvalho,Rex,"Mandal, Ihita",Gems Wellington International School,Y,Water is one of the most essential resources on Earth yet many regions face severe water scarcity due to growing populations increased land use and climate change. To address this challenge we employed cloud seeding as a promising technique for augmenting water supplies. While prior research has primarily focused on increasing precipitation this study introduces a novel angle by examining how cloud seeding-induced rainfall may also influence regional temperature regulation over time. This dual-purpose investigation is particularly relevant in arid regions like the Middle East where water scarcity and extreme heat coexist. Using historical datasets and AI-based modeling including linear regression and neural networks we analyzed the relationship between rainfall and temperature across different regions. Results revealed a consistent negative correlation between rainfall and temperature suggesting that cloud seeding may have cooling effects in addition to boosting precipitation. This study presents early evidence that weather modification could play a role in mitigating long-term climate stress offering a new perspective on the benefits of cloud seeding.,"Cloud seeding, Linear regression, Neural networks, Rainfall",33,36,https://doi.org/10.5281/zenodo.15149793,
